Row,Date,Home_Team,Away_Team,Attendance,Match_Report_Link
43,2024-03-30,Roots,LV Lights FC,"2,812",https://fbref.com/en/matches/c09757d8/Oakland-Roots-Las-Vegas-Lights-FC-March-30-2024-USL-Championship
44,2024-03-30,Sac Republic,Memphis,"9,488",https://fbref.com/en/matches/f1e0df43/Sacramento-Republic-Memphis-901-March-30-2024-USL-Championship
45,2024-03-30,San Antonio,Monterey Bay,"7,546",https://fbref.com/en/matches/76e6889c/San-Antonio-FC-Monterey-Bay-March-30-2024-USL-Championship
46,2024-03-30,Phx Rising,New Mexico Utd,"7,172",https://fbref.com/en/matches/b7cc8678/Phoenix-Rising-New-Mexico-United-March-30-2024-USL-Championship
47,,,,,
48,2024-04-06,Detroit City,North Carolina,"5,155",https://fbref.com/en/matches/41ab98c1/Detroit-City-North-Carolina-FC-April-6-2024-USL-Championship
49,2024-04-06,Hartford,Miami FC,"3,394",https://fbref.com/en/matches/ec447e55/Hartford-Athletic-Miami-FC-April-6-2024-USL-Championship
50,2024-04-06,Memphis,Orange County,"2,316",https://fbref.com/en/matches/7e54e8df/Memphis-901-Orange-County-SC-April-6-2024-USL-Championship
51,2024-04-06,Louisville City,Indy Eleven,"11,330",https://fbref.com/en/matches/da5fcf9d/Louisville-City-Indy-Eleven-April-6-2024-USL-Championship
52,2024-04-06,Pittsburgh,TB Rowdies,"3,109",https://fbref.com/en/matches/41507dd5/Pittsburgh-Riverhounds-Tampa-Bay-Rowdies-April-6-2024-USL-Championship
53,2024-04-05,FC Tulsa,Phx Rising,"5,135",https://fbref.com/en/matches/a9348a92/FC-Tulsa-Phoenix-Rising-April-5-2024-USL-Championship
54,2024-04-06,Rhode Island FC,Charleston,"3,729",https://fbref.com/en/matches/ef4cc3ee/Rhode-Island-FC-Charleston-Battery-April-6-2024-USL-Championship
55,2024-04-07,B'ham Legion,Loudoun Utd,"2,112",https://fbref.com/en/matches/97f6fb9b/Birmingham-Legion-Loudoun-United-April-7-2024-USL-Championship
56,2024-04-06,CS Switchbacks,Sac Republic,"6,965",https://fbref.com/en/matches/3d3a8595/Colorado-Springs-Switchbacks-Sacramento-Republic-April-6-2024-USL-Championship
57,2024-04-06,Roots,Monterey Bay,"3,001",https://fbref.com/en/matches/4cc1212c/Oakland-Roots-Monterey-Bay-April-6-2024-USL-Championship
58,2024-04-06,New Mexico Utd,El Paso,"9,019",https://fbref.com/en/matches/ce548760/New-Mexico-United-El-Paso-Locomotive-April-6-2024-USL-Championship
59,2024-04-06,LV Lights FC,San Antonio,"1,436",https://fbref.com/en/matches/f837edd5/Las-Vegas-Lights-FC-San-Antonio-FC-April-6-2024-USL-Championship
60,,,,,
61,2024-04-09,Charleston,Louisville City,"4,465",https://fbref.com/en/matches/dff6062d/Charleston-Battery-Louisville-City-April-9-2024-USL-Championship
62,Date,Home,Away,Attendance,
63,2024-04-11,Miami FC,TB Rowdies,887,https://fbref.com/en/matches/b28ddd54/Miami-FC-Tampa-Bay-Rowdies-April-11-2024-USL-Championship
64,2024-04-13,Loudoun Utd,Memphis,"2,820",https://fbref.com/en/matches/2ad14032/Loudoun-United-Memphis-901-April-13-2024-USL-Championship
