Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes,,
Regular Season,4,Sat,3/30/2024,19:30 (22:30),Phx Rising,,New Mexico Utd,,Wild Horse Pass Stadium,,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,5,Sat,4/6/2024,14:00,Detroit City,,North Carolina,,Keyworth Stadium,,Match Report,,,
Regular Season,5,Sat,4/6/2024,14:00,Hartford,,Miami FC,,Trinity Health Stadium,,Match Report,,,
Regular Season,5,Sat,4/6/2024,15:00 (16:00),Memphis,,Orange County,,AutoZone Park,,Match Report,,,
Regular Season,5,Sat,4/6/2024,16:00,Louisville City,,Indy Eleven,,Lynn Family Stadium,,Match Report,,,
Regular Season,5,Sat,4/6/2024,19:00,Pittsburgh,,TB Rowdies,,Highmark Stadium,,Match Report,,,
Regular Season,5,Fri,4/5/2024,19:30 (20:30),FC Tulsa,,Phx Rising,,ONEOK Field,Mathew Corrigan,Match Report,,,
Regular Season,5,Sat,4/6/2024,19:30,Rhode Island FC,,Charleston,,Beirne Stadium,,Match Report,,,
Regular Season,5,Sun,4/7/2024,16:00 (17:00),B'ham Legion,,Loudoun Utd,,Protective Stadium,,Match Report,,,
Regular Season,5,Sat,4/6/2024,18:00 (20:00),CS Switchbacks,,Sac Republic,,Weidner Field,,Match Report,,,
Regular Season,5,Sat,4/6/2024,19:00 (22:00),Roots,,Monterey Bay,,Pioneer Stadium,,Match Report,,,
Regular Season,5,Sat,4/6/2024,19:00 (21:00),New Mexico Utd,,El Paso,,Isotopes Park,,Match Report,,,
Regular Season,5,Sat,4/6/2024,19:30 (22:30),LV Lights FC,,San Antonio,,Cashman Field,,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,,Tue,4/9/2024,19:00,Charleston,,Louisville City,,Patriots Point Soccer Complex,Alexis Da Silva,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
Regular Season,6,Thu,4/11/2024,19:00,Miami FC,,TB Rowdies,,Riccardo Silva Stadium,,Match Report,,,
Regular Season,6,Sat,4/13/2024,16:00,Loudoun Utd,,Memphis,,Segra Field,Mathew Corrigan,Match Report,,,
Regular Season,6,Sat,4/13/2024,19:00,Indy Eleven,,Charleston,,Michael A. Carroll Stadium,Greg Dopka,Match Report,,,
Regular Season,6,Sat,4/13/2024,19:30,Rhode Island FC,,Pittsburgh,,Beirne Stadium,Olvin Oliva,Match Report,,,
Regular Season,6,Sun,4/14/2024,17:00,North Carolina,,B'ham Legion,,Sahlen's Stadium at WakeMed Soccer Park,Velimir Stefanovic,Match Report,,,
Regular Season,6,Sat,4/13/2024,19:00 (22:00),Sac Republic,,FC Tulsa,,Heart Health Park,Ricardo Fierro,Match Report,,,
Regular Season,6,Sat,4/13/2024,19:00 (22:00),Monterey Bay,,LV Lights FC,,Cardinale Stadium,Elijio Arreguin,Match Report,,,
Regular Season,6,Sat,4/13/2024,19:30 (20:30),San Antonio,,Orange County,,Toyota Field,Natalie Simon,Match Report,,,
Regular Season,6,Sat,4/13/2024,19:30 (22:30),Phx Rising,,CS Switchbacks,,Wild Horse Pass Stadium,Nabil Bensalah,Match Report,,,
Regular Season,6,Sat,4/13/2024,20:00 (21:00),El Paso,,Roots,,Southwest University Park,Sergii Demianchuk,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,7,Sat,4/20/2024,16:00,Loudoun Utd,,Louisville City,,Segra Field,Alyssa Nichols,Match Report,,,
Regular Season,7,Sat,4/20/2024,16:00,Detroit City,,Roots,,Keyworth Stadium,Olvin Oliva,Match Report,,,
Regular Season,7,Sat,4/20/2024,17:00,Hartford,,San Antonio,,Trinity Health Stadium,Jeremy Scheer,Match Report,,,
Regular Season,7,Sat,4/20/2024,17:00 (18:00),FC Tulsa,,Charleston,,ONEOK Field,Kyle Johnston,Match Report,,,
Regular Season,7,Sat,4/20/2024,19:00,Miami FC,,B'ham Legion,,Riccardo Silva Stadium,Lorenzo Hernandez,Match Report,,,
Regular Season,7,Sat,4/20/2024,19:00,North Carolina,,New Mexico Utd,,Sahlen's Stadium at WakeMed Soccer Park,Mathew Corrigan,Match Report,,,
Regular Season,7,Sat,4/20/2024,19:30,TB Rowdies,,El Paso,,Al Lang Stadium,Alex Beehler,Match Report,,,
Regular Season,7,Sat,4/20/2024,17:00 (20:00),LV Lights FC,,Rhode Island FC,,Cashman Field,Ben Meyer,Match Report,,,
Regular Season,7,Sat,4/20/2024,18:00 (20:00),CS Switchbacks,,Indy Eleven,,Weidner Field,Trevor Wiseman,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
Regular Season,7,Sat,4/20/2024,19:00 (22:00),Orange County,,Sac Republic,,Orange Country Great Park Championship S...,Abdou Ndiaye,Match Report,,,
Regular Season,7,Sat,4/20/2024,19:00 (20:00),Memphis,,Monterey Bay,,AutoZone Park,Muhammad Hassan,Match Report,,,
Regular Season,7,Sat,4/20/2024,19:30 (22:30),Phx Rising,,Pittsburgh,,Wild Horse Pass Stadium,Brad Jensen,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,8,Fri,4/26/2024,19:30,Rhode Island FC,,Phx Rising,,Beirne Stadium,Sergii Demianchuk,Match Report,,,
Regular Season,8,Sat,4/27/2024,16:00,Charleston,,LV Lights FC,,Patriots Point Soccer Complex,Joe Surgan,Match Report,,,
Regular Season,8,Sat,4/27/2024,18:30 (19:30),B'ham Legion,,Memphis,,Protective Stadium,Alejo Calume,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:00,Miami FC,,San Antonio,,South Dade Kia Field at Pitbull Stadium,Nabil Bensalah,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:00,Indy Eleven,,North Carolina,,Michael A. Carroll Stadium,Eric Tattersall,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:00,Pittsburgh,,Detroit City,,Highmark Stadium,Kyle Johnston,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:30,TB Rowdies,,New Mexico Utd,,Al Lang Stadium,Abdou Ndiaye,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:30,Louisville City,,Hartford,,Lynn Family Stadium,Ricardo Fierro,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:00 (22:00),Roots,,CS Switchbacks,,Pioneer Stadium,Alexis Da Silva,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:00 (22:00),Orange County,,Monterey Bay,,Orange Country Great Park Championship S...,DeShun Beard,Match Report,,,
Regular Season,8,Sat,4/27/2024,19:00 (22:00),Sac Republic,,Loudoun Utd,,Heart Health Park,Trevor Wiseman,Match Report,,,
Regular Season,8,Sat,4/27/2024,20:00 (21:00),El Paso,,FC Tulsa,,Southwest University Park,Lorenzo Hernandez,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,9,Sat,5/4/2024,15:00 (16:00),Memphis,,TB Rowdies,,AutoZone Park,Alexis Da Silva,Match Report,,,
Regular Season,9,Sat,5/4/2024,18:30,Charleston,,Hartford,,Patriots Point Soccer Complex,Matthew Thompson,Match Report,,,
Regular Season,9,Sat,5/4/2024,18:30 (19:30),B'ham Legion,,FC Tulsa,,Protective Stadium,Nabil Bensalah,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
Regular Season,9,Sat,5/4/2024,19:00,North Carolina,,Rhode Island FC,,Sahlen's Stadium at WakeMed Soccer Park,Gerald Flores,Match Report,,,
Regular Season,9,Sat,5/4/2024,19:00,Pittsburgh,,Miami FC,,Highmark Stadium,Brandon Stevis,Match Report,,,
Regular Season,9,Sat,5/4/2024,19:00,Loudoun Utd,,Detroit City,,Segra Field,Lorenzo Hernandez,Match Report,,,
Regular Season,9,Sat,5/4/2024,19:00 (21:00),CS Switchbacks,,El Paso,,Weidner Field,Luis Arroyo,Match Report,,,
Regular Season,9,Sat,5/4/2024,19:00 (22:00),Monterey Bay,,Indy Eleven,,Cardinale Stadium,Corbyn May,Match Report,,,
Regular Season,9,Sat,5/4/2024,19:30 (20:30),San Antonio,,Roots,,Toyota Field,Joshua Encarnacion,Match Report,,,
Regular Season,9,Sat,5/4/2024,19:30 (22:30),LV Lights FC,,New Mexico Utd,,Cashman Field,Brad Jensen,Match Report,,,
Regular Season,9,Sat,5/4/2024,19:30 (22:30),Phx Rising,,Sac Republic,,Wild Horse Pass Stadium,Adam Kilpatrick,Match Report,,,
,,,,,,,,,,,,,,
Regular Season,10,Fri,5/10/2024,19:00,Loudoun Utd,,El Paso,,Segra Field,Velimir Stefanovic,Match Report,,,
Regular Season,10,Sat,5/11/2024,17:00,Detroit City,,Phx Rising,,Keyworth Stadium,Trevor Wiseman,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:00,Hartford,,CS Switchbacks,,Trinity Health Stadium,Lorenzo Hernandez,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:30,Rhode Island FC,,Sac Republic,,Beirne Stadium,Alejo Calume,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:30,TB Rowdies,,B'ham Legion,,Al Lang Stadium,Elton Garcia,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:30,Louisville City,,Orange County,,Lynn Family Stadium,Eric Tattersall,Match Report,,,
Regular Season,10,Sun,5/12/2024,19:00,Miami FC,,Indy Eleven,,Riccardo Silva Stadium,Muhammad Hassan,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:00 (21:00),New Mexico Utd,,Roots,,Isotopes Park,Brandon Stevis,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:00 (22:00),Monterey Bay,,Memphis,,Cardinale Stadium,Kyle Johnston,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:30 (20:30),FC Tulsa,,Pittsburgh,,ONEOK Field,Elijio Arreguin,Match Report,,,
Regular Season,10,Sat,5/11/2024,19:30 (20:30),San Antonio,,LV Lights FC,,Toyota Field,Elvis Osmanovic,Match Report,,,
Round,Wk,Day,Date,Time,Home,,Away,,Venue,Referee,Match Report,,,Notes
,,,,,,,,,,,,,,
Regular Season,,Tue,5/14/2024,19:00,North Carolina,,Loudoun Utd,,Sahlen's Stadium at WakeMed Soccer Park,Jonathan Bilinski,Match Report,,,
Regular Season,,Wed,5/15/2024,19:00 (20:00),B'ham Legion,,Charleston,,Protective Stadium,Jeremy Scheer,Match Report,,,
Regular Season,11,Sat,5/18/2024,19:00,Loudoun Utd,,Monterey Bay,,Segra Field,Thomas Snyder,Match Report,,,
Regular Season,11,Fri,5/17/2024,19:00 (21:00),CS Switchbacks,,Rhode Island FC,,Weidner Field,Greg Dopka,Match Report,,,
Regular Season,11,Sat,5/18/2024,19:00,Indy Eleven,,Hartford,,Michael A. Carroll Stadium,Elton Garcia,Match Report,,,
Regular Season,11,Sat,5/18/2024,19:00,Pittsburgh,,North Carolina,,Highmark Stadium,Natalie Simon,Match Report,,,
Regular Season,11,Sat,5/18/2024,19:30,TB Rowdies,,FC Tulsa,,Al Lang Stadium,Eric Tattersall,Match Report,,,
Regular Season,11,Fri,5/17/2024,20:00 (21:00),El Paso,,Memphis,,Southwest University Park,Abdou Ndiaye,Match Report,,,
